[s],CH2[V]
-5.4440E-02,-1.9093695330E+00
-5.4420E-02,-1.8996762440E+00
-5.4400E-02,-1.9660715754E+00
-5.4380E-02,-1.9870577513E+00
-5.4360E-02,-1.9813526807E+00
-5.4340E-02,-2.0281194871E+00
-5.4320E-02,-2.0332651800E+00
-5.4300E-02,-2.0799400521E+00
-5.4280E-02,-2.0503422447E+00
-5.4260E-02,-2.0793709469E+00
-5.4240E-02,-2.0903077319E+00
-5.4220E-02,-2.1189749915E+00
-5.4200E-02,-2.1208473880E+00
-5.4180E-02,-2.1330411157E+00
-5.4160E-02,-2.1508958065E+00
-5.4140E-02,-2.1586695874E+00
-5.4120E-02,-2.1772905556E+00
-5.4100E-02,-2.2099528047E+00
-5.4080E-02,-2.2502444961E+00
-5.4060E-02,-2.2346946931E+00
-5.4040E-02,-2.2971238837E+00
-5.4020E-02,-2.2959171519E+00
-5.4000E-02,-2.3309085598E+00
-5.3980E-02,-2.3355589619E+00
-5.3960E-02,-2.3266605129E+00
-5.3940E-02,-2.3551004165E+00
-5.3920E-02,-2.3963030577E+00
-5.3900E-02,-2.4204686407E+00
-5.3880E-02,-2.4403687245E+00
-5.3860E-02,-2.4848626865E+00
-5.3840E-02,-2.4672309171E+00
-5.3820E-02,-2.4887513413E+00
-5.3800E-02,-2.5220485945E+00
-5.3780E-02,-2.5550250316E+00
-5.3760E-02,-2.5837015895E+00
-5.3740E-02,-2.5962452203E+00
-5.3720E-02,-2.6094902786E+00
-5.3700E-02,-2.6542206088E+00
-5.3680E-02,-2.6529596606E+00
-5.3660E-02,-2.6352028167E+00
-5.3640E-02,-2.7189555932E+00
-5.3620E-02,-2.6947317883E+00
-5.3600E-02,-2.7278897097E+00
-5.3580E-02,-2.7280274202E+00
-5.3560E-02,-2.7356417945E+00
-5.3540E-02,-2.7730286893E+00
-5.3520E-02,-2.7865643321E+00
-5.3500E-02,-2.8159608188E+00
-5.3480E-02,-2.8063555063E+00
-5.3460E-02,-2.8292825525E+00
-5.3440E-02,-2.8712499928E+00
-5.3420E-02,-2.8865470721E+00
-5.3400E-02,-2.8851754977E+00
-5.3380E-02,-2.9332283339E+00
-5.3360E-02,-2.9469812714E+00
-5.3340E-02,-2.9765525666E+00
-5.3320E-02,-2.9863508074E+00
-5.3300E-02,-3.0110699030E+00
-5.3280E-02,-3.0473336555E+00
-5.3260E-02,-3.0551334241E+00
-5.3240E-02,-3.0696146827E+00
-5.3220E-02,-3.1113879072E+00
-5.3200E-02,-3.1191927302E+00
-5.3180E-02,-3.1462428920E+00
-5.3160E-02,-3.1623646612E+00
-5.3140E-02,-3.1728007671E+00
-5.3120E-02,-3.1683429595E+00
-5.3100E-02,-3.1930648684E+00
-5.3080E-02,-3.2172363642E+00
-5.3060E-02,-3.2372062093E+00
-5.3040E-02,-3.2917075052E+00
-5.3020E-02,-3.2830756558E+00
-5.3000E-02,-3.2805264843E+00
-5.2980E-02,-3.3246619125E+00
-5.2960E-02,-3.3285405536E+00
-5.2940E-02,-3.3443466090E+00
-5.2920E-02,-3.3555894756E+00
-5.2900E-02,-3.3842891125E+00
-5.2880E-02,-3.3924384981E+00
-5.2860E-02,-3.4046189697E+00
-5.2840E-02,-3.4124074849E+00
-5.2820E-02,-3.4372395432E+00
-5.2800E-02,-3.4666057508E+00
-5.2780E-02,-3.4543682495E+00
-5.2760E-02,-3.5007955954E+00
-5.2740E-02,-3.5317238739E+00
-5.2720E-02,-3.5249545504E+00
-5.2700E-02,-3.5513202601E+00
-5.2680E-02,-3.5504445010E+00
-5.2660E-02,-3.6053450526E+00
-5.2640E-02,-3.5868708073E+00
-5.2620E-02,-3.5942130506E+00
-5.2600E-02,-3.6368550247E+00
-5.2580E-02,-3.6507801005E+00
-5.2560E-02,-3.6732729387E+00
-5.2540E-02,-3.6779810858E+00
-5.2520E-02,-3.7012549833E+00
-5.2500E-02,-3.6686196279E+00
-5.2480E-02,-3.7260445078E+00
-5.2460E-02,-3.7377614460E+00
-5.2440E-02,-3.7734983411E+00
-5.2420E-02,-3.7363366088E+00
-5.2400E-02,-3.7664434876E+00
-5.2380E-02,-3.8136659118E+00
-5.2360E-02,-3.8096706363E+00
-5.2340E-02,-3.8369678474E+00
-5.2320E-02,-3.8545013407E+00
-5.2300E-02,-3.8766654474E+00
-5.2280E-02,-3.8887079700E+00
-5.2260E-02,-3.8889871581E+00
-5.2240E-02,-3.9183843124E+00
-5.2220E-02,-3.9469598763E+00
-5.2200E-02,-3.9345759860E+00
-5.2180E-02,-3.9872479438E+00
-5.2160E-02,-4.0031106473E+00
-5.2140E-02,-4.0483636864E+00
-5.2120E-02,-4.0332055574E+00
-5.2100E-02,-4.0717591297E+00
-5.2080E-02,-4.0587808618E+00
-5.2060E-02,-4.0792427552E+00
-5.2040E-02,-4.0997366921E+00
-5.2020E-02,-4.1349447748E+00
-5.2000E-02,-4.1401638529E+00
-5.1980E-02,-4.1270932217E+00
-5.1960E-02,-4.1671319987E+00
-5.1940E-02,-4.1652039553E+00
-5.1920E-02,-4.1600310827E+00
-5.1900E-02,-4.1946888477E+00
-5.1880E-02,-4.2143527064E+00
-5.1860E-02,-4.2236650501E+00
-5.1840E-02,-4.2252582107E+00
-5.1820E-02,-4.2491012134E+00
-5.1800E-02,-4.2246983085E+00
-5.1780E-02,-4.2626759092E+00
-5.1760E-02,-4.2926128909E+00
-5.1740E-02,-4.2912645384E+00
-5.1720E-02,-4.3291096260E+00
-5.1700E-02,-4.3409665159E+00
-5.1680E-02,-4.3417348913E+00
-5.1660E-02,-4.3510357433E+00
-5.1640E-02,-4.3856761037E+00
-5.1620E-02,-4.4125363889E+00
-5.1600E-02,-4.4199059550E+00
-5.1580E-02,-4.4556953976E+00
-5.1560E-02,-4.4609021733E+00
-5.1540E-02,-4.4902731969E+00
-5.1520E-02,-4.4761510921E+00
-5.1500E-02,-4.5013782577E+00
-5.1480E-02,-4.5309542736E+00
-5.1460E-02,-4.5483044707E+00
-5.1440E-02,-4.5284271796E+00
