Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

56	33,346001243	2,79731	0,032967	1816,99993585	0,681893254674
56,5	33,933362892	2,62027	0,0512821	1845,21097998	0,671467931551
57	34,129506409	2,46032	0,023199	1854,58873057	0,668072645744
57,5	34,716333607	2,39194	0,037851	1882,51510459	0,658162049793
58	34,977680146	2,30525	0,031746	1894,88887714	0,653864200137
58,5	35,499838773	2,31013	0,042735	1919,49278895	0,645483018813
59	35,760650861	2,2381	0,04884	1931,72257947	0,641396447486
59,5	36,282809488	2,22466	0,026862	1956,08668157	0,633407512906
60	36,543621576	2,18681	0,041514	1968,19555054	0,629510619337
60,5	37,065780203	2,13797	0,00976801	1992,31529316	0,621889519321
61	37,392329764	2,08913	0,0512821	2007,31541838	0,61724230714
61,5	37,91395394	2,06593	0,029304	2031,1408742	0,610002002193
62	38,175300479	2,03297	0,0512821	2043,01483344	0,606456683388
62,5	38,436112567	1,98657	0,030525	2054,82213416	0,602971896888
63	38,958271194	2,00855	0,047619	2078,33273445	0,596150933613
63,5	39,219083282	1,95727	0,021978	2090,0114827	0,592819709487
64	39,741241909	1,98657	0,028083	2113,26252612	0,586297246407
64,5	40,002588448	1,9072	0,032967	2124,83415985	0,583104330403
65	40,589415646	1,9243	0,034188	2150,65564844	0,576103385448
65,5	40,850762185	1,86569	0,0598291	2162,08293326	0,573058498794
66	41,372920812	1,82906	0,013431	2184,77917561	0,567105368741
66,5	41,6337329	1,73504	0,0512821	2196,04784665	0,564195357532
67	42,090688505	1,71306	0,018315	2215,68126763	0,559195953905
67,5	42,416703615	1,58608	0,0573871	2229,60266851	0,555704394106
68	42,938862242	1,63736	0,039072	2251,74914774	0,550238911491
68,5	43,19967433	1,52259	0,0500611	2262,74113277	0,547565950897
69	43,526223891	1,52137	0,013431	2276,4375099	0,544271474448
69,5	43,983179496	1,47131	0,03663	2295,47923712	0,539756570204
70	44,2440450291	1,47131	0,017094	2306,28433425	0,537227774391
70,5	44,831353233	1,35165	0,042735	2330,43542524	0,531660301153
71	45,0923791014	1,40659	0,030525	2341,09079591	0,52924047293
71,5	45,3534049698	1,30647	0,039072	2351,69757743	0,526853457644
72	45,8754567066	1,28205	0,042735	2372,76449344	0,522175716732
72,5	46,136482575	1,21368	0,01221	2383,2241907	0,519883947484
73	46,7237907789	1,2442	0,0500611	2406,57732906	0,514839055881
73,5	46,9195601802	1,15263	0,037851	2414,30563746	0,513191031316
74	47,5068683841	1,14164	0,0525031	2437,32108633	0,508345005075
74,5	47,7678942525	1,07448	0,021978	2447,46811516	0,50623744282
75	48,2899459893	1,03419	0,021978	2467,60957224	0,502105362995
75,5	48,5509718577	0,967033	0,02442	2477,60358246	0,500080000194
76	49,0730235945	0,968254	0,03663	2497,43712915	0,496108584891
76,5	49,3340494629	0,874237	0,045177	2507,27625398	0,494161741465
77	49,5950753313	0,868132	0,034188	2517,06334048	0,492240294503
77,5	50,1823835352	0,781441	0,042735	2538,89296961	0,488007968367
78	50,4434094036	0,754579	0,021978	2548,50953432	0,486166515492
78,5	50,9654611404	0,65812	0,04884	2567,58378292	0,482554847184
79	51,2264870088	0,628816	0,010989	2577,04107092	0,48078395567
79,5	51,7485387456	0,568987	0,0647131	2595,79499289	0,477310420659
80	52,009564614	0,571429	0,014652	2605,09123762	0,4756071427
80,5	52,2705904824	0,544567	0,04884	2614,3334139	0,473925779097
81	52,8578986863	0,564103	0,00854701	2634,92963095	0,470221286158
81,5	53,0536680876	0,504274	0,043956	2641,73361937	0,469010195016
82	53,6409762915	0,515263	0,013431	2661,96022078	0,465446474493
82,5	53,9020021599	0,434676	0,0561661	2670,86016804	0,463895495102
83	54,4240538967	0,409035	0,029304	2688,49357852	0,46085287683
83,5	54,6850797651	0,361416	0,0598291	2697,22667576	0,45936072453
84	55,0766185677	0,318681	0,00854701	2710,22130144	0,457158239935
84,5	55,4681573703	0,23199	0,0586081	2723,08936392	0,454997921264
85	55,7291832387	0,247863	0,025641	2731,59746236	0,4535807406
85,5	56,2512349755	0,178266	0,0537241	2748,44340158	0,450800623833
86	56,577517311	0,188034	0,01221	2758,8563321	0,449099137777
86,5	57,0995690478	0,145299	0,04884	2775,33078724	0,446433270475
87	57,3605949162	0,152625	0,025641	2783,48169734	0,445125973411
