Vernier Format 2
Si_Lampe.cmbl 06.10.2014 11:57:35 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

71,5	50,6391253598	2,5641	0,00854701	1277,07609848	0,970184941582
72	50,9001512282	2,51526	0,00854701	1281,83518218	0,966582925191
72,5	51,422202965	2,47741	0,00854701	1291,27343818	0,959517917247
73	51,6832288334	2,44689	0,00854701	1295,9524146	0,956053622062
73,5	52,2052805702	2,40659	0,00976801	1305,22957872	0,94925829157
74	52,5315629057	2,37241	0,00976801	1310,97282866	0,94509967935
74,5	52,7925887741	2,33211	0,00854701	1315,53682725	0,941820840233
75	53,3146405109	2,2906	0,00732601	1324,58281869	0,935388850371
75,5	53,5104099122	2,24542	0,00854701	1327,94675495	0,933019336338
76	54,0977181161	2,21123	0,013431	1337,94538765	0,926046766509
76,5	54,3587439845	2,16606	0,00854701	1342,34416209	0,923012171536
77	54,8807957213	2,0757	0,00732601	1351,05803951	0,917059048365
77,5	55,1418215897	2,00366	0,00854701	1355,37296164	0,914139528433
78	55,6638733265	1,91331	0,010989	1363,91832494	0,908412166144
78,5	55,9248991949	1,86447	0,00854701	1368,14858876	0,905603389999
79	56,4469509317	1,82662	0,00732601	1376,52384174	0,900093381919
79,5	56,7732332672	1,80342	0,00854701	1381,7003868	0,896721179088
80	57,0342591356	1,76435	0,00854701	1385,80936918	0,894062363523
80,5	57,5563108724	1,75214	0,00854701	1393,94096216	0,888846826112
81	57,8173367408	1,71673	0,00976801	1397,96340399	0,886289295176
81,5	58,3393884776	1,7033	0,00976801	1405,9211609	0,881272744487
82	58,600414346	1,70208	0,00854701	1409,85631083	0,878812961637
82,5	58,8614402144	1,69719	0,00854701	1413,76219929	0,87638501059
83	59,3834919512	1,72405	0,00976801	1421,4858682	0,871623156947
83,5	59,6445178196	1,75458	0,00732601	1425,30348834	0,869288548112
84	60,2318260235	1,78755	0,00732601	1433,78485453	0,864146385761
84,5	60,4928518919	1,79487	0,010989	1437,50604645	0,861909418092
85	61,0149036287	1,81563	0,00976801	1444,85884771	0,857523212019
85,5	61,2759829422	1,80708	0,00732601	1448,4910449	0,855372909871
86	61,6675217448	1,79976	0,00732601	1453,88182867	0,852201310703
86,5	62,0590605474	1,79365	0,010989	1459,20471838	0,849092649163
87	62,3200864158	1,7558	0,00854701	1462,71546972	0,847054690848
87,5	62,8421381526	1,70574	0,00854701	1469,64582452	0,843060266171
