Vernier Format 2
Si_Messung.cmbl 06.10.2014 11:45:23 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

56	34,3901581617	0,00610501	0,655678	932,948512713	1,32804756438
56,5	34,6511840301	0,00610501	0,710623	939,148489907	1,31928019191
57	35,238492234	0,00610501	0,770452	953,02697576	1,30006813187
57,5	35,4995181024	0,00732601	0,833944	959,163135722	1,29175106283
58	36,0868263063	0,00610501	0,898657	972,896516019	1,27351674058
58,5	36,2825957076	0,00732601	0,957265	977,451664122	1,26758186157
59	36,8699039115	0,00854701	1,00733	991,048427932	1,25019117641
59,5	37,0656733128	0,018315	1,05128	995,557612661	1,24452867844
60	37,6529815167	0,042735	1,07814	1009,01522022	1,22792994116
60,5	37,9140073851	0,0866911	1,08303	1014,96243223	1,22073483773
61	38,4360591219	0,140415	1,06838	1026,79353684	1,20666906788
61,5	38,6970849903	0,21978	1,03053	1032,6771839	1,19979410732
62	39,2191367271	0,313797	0,974359	1044,38005694	1,18634973137
62,5	39,4801625955	0,420024	0,897436	1050,19904004	1,1797763593
63	40,0022143323	0,526252	0,810745	1061,77149552	1,1669177457
63,5	40,2632402007	0,616606	0,722833	1067,52472771	1,16062885274
64	40,6547790033	0,692308	0,639805	1076,11299559	1,15136607873
64,5	41,0463178059	0,754579	0,564103	1084,65101063	1,14230290468
65	41,6336260098	0,80464	0,494505	1097,36293759	1,12907039008
65,5	41,8946518782	0,831502	0,433455	1102,97575164	1,12332478584
66	42,416703615	0,866911	0,37851	1114,1325872	1,11207590033
66,5	42,6777294834	0,884005	0,327228	1119,67637715	1,10656974219
67	43,1997812202	0,896215	0,275946	1130,69412609	1,09578706691
67,5	43,4608070886	0,905983	0,229548	1136,16785641	1,09050787963
68	44,0481152925	0,915751	0,188034	1148,39735904	1,07889485312
68,5	44,2438846938	0,924298	0,150183	1152,44710893	1,07510356909
69	44,8311928977	0,918193	0,118437	1164,51544378	1,06396184492
69,5	45,0922187661	0,913309	0,0854701	1169,83994802	1,05911924284
70	45,6142705029	0,904762	0,0561661	1180,4160067	1,04962995501
70,5	45,8752963713	0,90232	0,035409	1185,66734163	1,0449811313
71	46,3973481081	0,875458	0,026862	1196,0960777	1,0358699632
71,5	46,6583739765	0,86569	0,02442	1201,27326241	1,03140562499
72	47,1804257133	0,855922	0,021978	1211,55272788	1,0226546245
72,5	47,4414515817	0,835165	0,019536	1216,65479531	1,01836610087
73	47,9635033185	0,819292	0,019536	1226,78307007	1,00995850875
73,5	48,2245291869	0,80464	0,017094	1231,80906719	1,00583770083
74	48,8118373908	0,788767	0,017094	1243,0239266	0,99676279232
74,5	49,0728632592	0,774115	0,017094	1247,96645525	0,992815147222
75	49,594914996	0,754579	0,018315	1257,77370617	0,9850738602
75,5	49,8559408644	0,739927	0,019536	1262,6382249	0,981278703249
76	50,3779926012	0,73138	0,019536	1272,28854405	0,973835696148
76,5	50,6390184696	0,717949	0,020757	1277,0741442	0,970186426238
77	51,1610702064	0,70696	0,018315	1286,56572899	0,963028916504
77,5	51,4873525419	0,693529	0,017094	1292,44377982	0,958649048682
78	52,0094042787	0,671551	0,015873	1301,7614026	0,951787322567
78,5	52,2704301471	0,661783	0,017094	1306,37973526	0,948422550164
79	52,7924818839	0,64591	0,015873	1315,53496387	0,941822174267
79,5	53,0535077523	0,636142	0,015873	1320,07166981	0,938585402853
80	53,3145336207	0,619048	0,017094	1324,58097776	0,9353901504
80,5	53,8365853575	0,608059	0,017094	1333,51702592	0,929121995386
81	54,2281241601	0,590965	0,013431	1340,14645041	0,924525822998
81,5	54,6196629627	0,576313	0,01221	1346,71329211	0,920017651316
82	55,1417146995	0,547009	0,010989	1355,37120042	0,914140716294
82,5	55,467997035	0,507937	0,014652	1360,72529833	0,910543811834
83	55,9900487718	0,493284	0,014652	1369,1999977	0,90490797698
83,5	56,2510746402	0,478632	0,015873	1373,39476475	0,902144111655
84	56,773126377	0,472527	0,017094	1381,69869829	0,896722274929
84,5	57,0341522454	0,460317	0,015873	1385,80769243	0,894063445288
85	57,5562039822	0,448107	0,015873	1393,93930903	0,888847880228
85,5	57,8172298506	0,435897	0,015873	1397,96176273	0,886290335713
86	58,4045380545	0,421245	0,018315	1406,90607275	0,880655804961
86,5	58,6003074558	0,413919	0,020757	1409,85470536	0,87881396238
87	58,9265897913	0,410256	0,020757	1414,73249934	0,875783938363
87,5	59,3834385061	0,409035	0,020757	1421,48508352	0,871623638097
88	59,7097208416	0,399267	0,019536	1426,25249714	0,868710135464
88,5	60,2317725784	0,395604	0,019536	1433,78408956	0,864146846808
89	60,7538243152	0,380952	0,019536	1441,1966503	0,859702247949
89,5	61,0148501836	0,368742	0,021978	1444,85810109	0,857523655135
90	61,5369019204	0,361416	0,023199	1452,09096356	0,853252331358
90,5	61,8631842559	0,344322	0,021978	1456,55032274	0,850640022977
91	62,3852359927	0,333333	0,018315	1463,58698852	0,846550297123
91,5	62,6462618611	0,323565	0,020757	1467,05979282	0,844546354593
92	63,1683135979	0,306471	0,021978	1473,91398385	0,840618932705
92,5	63,4293394663	0,294261	0,023199	1477,29522831	0,838694917748
93	63,9513912031	0,284493	0,02442	1483,96566427	0,834924978276
93,5	64,2124170715	0,271062	0,02442	1487,25471731	0,833078547729
94	64,7344688083	0,271062	0,02442	1493,74015221	0,829461535305
94,5	64,9954946767	0,255189	0,023199	1496,93639946	0,827690475322
95	65,5828028806	0,241758	0,02442	1504,01426048	0,823795380507
95,5	65,843828749	0,228327	0,025641	1507,10929494	0,822103615286
96	66,3658804858	0,217338	0,025641	1513,20546047	0,8187916528
96,5	66,6269063542	0,212454	0,023199	1516,20646501	0,817171030855
97	67,148958091	0,205128	0,020757	1522,11400623	0,813999473714
97,5	67,4099839594	0,190476	0,019536	1525,02042029	0,812448137425
98	67,9320356962	0,186813	0,015873	1530,73823372	0,809413375003
98,5	68,1930615646	0,173382	0,017094	1533,54951441	0,807929570163
99	68,7151133014	0,162393	0,019536	1539,07653201	0,805028193357
99,5	68,9761391698	0,155067	0,017094	1541,7921542	0,803610263953
100	69,5634473737	0,145299	0,017094	1547,78522018	0,800498663412
100,5	69,8244732421	0,137973	0,017094	1550,39664047	0,799150338473
101	70,3465249789	0,125763	0,017094	1555,52289245	0,796516725028
101,5	70,6075508473	0,113553	0,018315	1558,03761774	0,795231120156
102	71,1296025841	0,105006	0,020757	1562,97000595	0,792721546339
102,5	71,3906284525	0,0940171	0,020757	1565,38756651	0,791497279339
103	71,9126801893	0,0915751	0,020757	1570,12516963	0,789109062111
103,5	72,2389625248	0,0781441	0,020757	1573,02000242	0,787656862657
104	72,7610142616	0,0671551	0,019536	1577,54559086	0,785397269771
104,5	73,02204013	0,0659341	0,021978	1579,75929564	0,784296698502
105	73,5440918668	0,0586081	0,020757	1584,08829661	0,782153370273
105,5	73,8051177352	0,0537241	0,017094	1586,20350294	0,781110366801
106	74,327169472	0,045177	0,017094	1590,3351078	0,779081084184
106,5	74,5881953404	0,042735	0,017094	1592,35142058	0,778094573841
107	75,1102470772	0,037851	0,018315	1596,28485759	0,77617725565
107,5	75,3712729456	0,028083	0,020757	1598,20190019	0,775246231316
108	75,9585811495	0,030525	0,019536	1602,39390669	0,773218117487
108,5	76,2196070179	0,026862	0,018315	1604,20300307	0,772346141746
109	76,7416587547	0,020757	0,017094	1607,72127367	0,770655971463
109,5	77,0026846231	0,023199	0,020757	1609,43037486	0,769837589346
110	77,5247363599	0,015873	0,020757	1612,74833166	0,76825377877
110,5	77,7857622283	0,00732601	0,02442	1614,3571184	0,767488175867
111	78,3730704322	0,00976801	0,023199	1617,85433306	0,765829144617
111,5	78,6340963006	0,010989	0,023199	1619,3541073	0,765119867494
112	79,1561480374	0,00732601	0,02442	1622,25279665	0,763752728651
112,5	79,4171739058	0,00732601	0,02442	1623,65165159	0,763094718491
113	79,9392256426	0,00732601	0,025641	1626,34823687	0,761829460574
113,5	80,200251511	0,00732601	0,025641	1627,64591123	0,761222076282
114	80,7223032478	0,01221	0,021978	1630,13988874	0,760057470257
